,name,matches,innings,overs,maidens,runs,wickets,best_bowling,average,economy,strike_rate,four_wkts,five_wkts,catches,stumps,season,team
92,Sohaib Maqsood,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2019/2020,Peshawar Zalmi
92,Shakeel Ansar,1,-,-,-,-,-,-,-,-,-,-,-,0,0,2018/2019,Multan Sultans
92,Sohail Akhtar,9,-,-,-,-,-,-,-,-,-,-,-,2,0,2017/2018,Lahore Qalandars
93,PD Salt,9,-,-,-,-,-,-,-,-,-,-,-,3,3,2021/2022,Lahore Qalandars
93,Salman Mirza,2,2,6,0,62,2,Feb-35,31,10.33,18,0,0,0,0,2020/2021,Lahore Qalandars
93,Sohail Akhtar,13,-,-,-,-,-,-,-,-,-,-,-,7,0,2019/2020,Lahore Qalandars
93,Shan Masood,4,-,-,-,-,-,-,-,-,-,-,-,3,0,2018/2019,Multan Sultans
93,Sohail Khan,7,7,25.4,0,226,8,Mar-34,28.25,8.8,19.2,0,0,1,0,2017/2018,Lahore Qalandars
94,Sameen Gul,1,1,4,0,41,2,Feb-41,20.5,10.25,12,0,0,1,0,2021/2022,Peshawar Zalmi
94,PD Salt,3,-,-,-,-,-,-,-,-,-,-,-,3,0,2020/2021,Islamabad United
94,Sohail Khan,8,7,25.1,0,235,7,21-Feb,33.57,9.33,21.5,0,0,1,0,2019/2020,Quetta Gladiators
94,Shoaib Malik,10,4,13,0,76,0,-,-,5.84,-,0,0,1,0,2018/2019,Multan Sultans
94,Sohail Tanvir,10,9,32.4,0,250,7,14-Mar,35.71,7.65,28,0,0,2,0,2017/2018,Multan Sultans
95,Sarfaraz Ahmed,10,-,-,-,-,-,-,-,-,-,-,-,4,0,2021/2022,Quetta Gladiators
95,Sameen Gul,3,3,11,0,95,5,13-Feb,19,8.63,13.2,0,0,0,0,2020/2021,Peshawar Zalmi
95,Sohail Tanvir,10,9,30.3,1,230,14,13-Apr,16.42,7.54,13,1,0,3,0,2019/2020,Multan Sultans
95,Sikandar Raza,3,2,6,1,32,3,23-Feb,10.66,5.33,12,0,0,2,0,2018/2019,Karachi Kings
95,Tamim Iqbal,6,-,-,-,-,-,-,-,-,-,-,-,1,0,2017/2018,Peshawar Zalmi
96,Shadab Khan,9,8,32,0,207,19,28-May,10.89,6.46,10.1,2,1,5,0,2021/2022,Islamabad United
96,Sarfaraz Ahmed,10,-,-,-,-,-,-,-,-,-,-,-,4,0,2020/2021,Quetta Gladiators
