,name,matches,innings,not_out,runs,high_score,average,ball_faced,strike_rate,hundreds,fifties,zeros,fours,sixes,season,team
57,TA Lammonby,3,3,0,4,3,1.33,6,66.66,0,0,1,0,0,2021/2022,Karachi Kings
58,LS Livingstone,4,4,0,39,24,9.75,35,111.42,0,0,1,4,2,2021/2022,Peshawar Zalmi
59,S Mahmood,2,2,2,11,11*,-,11,100.00,0,0,0,0,1,2021/2022,Peshawar Zalmi
60,Mir Hamza,4,1,1,1,1*,-,2,50.00,0,0,0,0,0,2021/2022,Karachi Kings
61,Mohammad Hafeez,13,13,2,323,69,29.36,251,128.68,0,1,1,27,8,2021/2022,Lahore Qalandars
62,Mohammad Haris,5,5,0,166,70,33.20,89,186.51,0,1,0,19,9,2021/2022,Peshawar Zalmi
63,Mohammad Hasnain,3,1,1,0,0*,-,0,-,0,0,0,0,0,2021/2022,Quetta Gladiators
64,Mohammad Huraira,1,1,0,2,2,2.00,8,25.00,0,0,0,0,0,2021/2022,Islamabad United
65,Mohammad Ilyas,3,1,0,7,7,7.00,10,70.00,0,0,0,1,0,2021/2022,Karachi Kings
66,Mohammad Imran,3,1,1,0,0*,-,0,-,0,0,0,0,0,2021/2022,Karachi Kings
67,Mohammad Irfan,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2021/2022,Quetta Gladiators
68,Mohammad Nabi,9,9,1,129,47*,16.12,111,116.21,0,0,1,11,3,2021/2022,Karachi Kings
69,Mohammad Nawaz,5,4,2,78,47,39.00,38,205.26,0,0,0,4,7,2021/2022,Quetta Gladiators
70,Mohammad Rizwan,12,12,4,546,83*,68.25,431,126.68,0,7,1,47,9,2021/2022,Multan Sultans
71,Mohammad Taha,5,2,0,6,6,3.00,11,54.54,0,0,1,0,0,2021/2022,Karachi Kings
72,Mohammad Umar,6,2,0,3,3,1.50,10,30.00,0,0,1,0,0,2021/2022,Peshawar Zalmi
73,Mohammad Wasim,8,4,1,32,12*,10.66,28,114.28,0,0,0,2,2,2021/2022,Islamabad United
74,Mubasir Khan,7,3,0,36,21,12.00,33,109.09,0,0,0,2,1,2021/2022,Islamabad United
75,Muhammad Akhlaq,2,2,0,2,2,1.00,8,25.00,0,0,1,0,0,2021/2022,Islamabad United
76,Muhammad Musa,2,2,2,32,26*,-,26,123.07,0,0,0,3,2,2021/2022,Islamabad United
