,name,matches,innings,not_out,runs,high_score,average,ball_faced,strike_rate,hundreds,fifties,zeros,fours,sixes,season,team
119,Waqar Salamkheil,1,-,-,-,-,-,-,-,-,-,-,-,-,2020/2021,Peshawar Zalmi
120,Waqas Maqsood,7,2,0,19,12,9.50,18,105.55,0,0,0,2,1,2020/2021,Karachi Kings
121,J Weatherald,5,5,0,148,48,29.60,118,125.42,0,0,0,16,7,2020/2021,Quetta Gladiators
122,JW Wells,2,2,1,61,55*,61.00,56,108.92,0,1,0,6,3,2020/2021,Peshawar Zalmi
123,D Wiese,4,3,1,44,31*,22.00,18,244.44,0,0,1,4,4,2020/2021,Lahore Qalandars
124,JD Wildermuth,2,2,1,17,9,17.00,18,94.44,0,0,0,1,0,2020/2021,Quetta Gladiators
125,Zafar Gohar,3,1,1,3,3*,-,4,75.00,0,0,0,0,0,2020/2021,Islamabad United
126,Zahid Mahmood,6,4,1,5,5,1.66,11,45.45,0,0,2,0,0,2020/2021,Quetta Gladiators
127,Zahir Khan,2,2,1,12,6*,12.00,8,150.00,0,0,0,2,0,2020/2021,Quetta Gladiators
128,Zahoor Khan,1,-,-,-,-,-,-,-,-,-,-,-,-,2020/2021,Quetta Gladiators
129,Zeeshan Ashraf,3,2,0,17,16,8.50,20,85.00,0,0,0,0,1,2020/2021,Lahore Qalandars
0,Aamer Yamin,3,-,-,-,-,-,-,-,-,-,-,-,-,2019/2020,Karachi Kings
1,Abdul Nasir,1,1,1,1,1*,-,2,50.00,0,0,0,0,0,2019/2020,Quetta Gladiators
2,Adil Amin,1,1,1,7,7*,-,7,100.00,0,0,0,1,0,2019/2020,Peshawar Zalmi
3,Ahmed Safi Abdullah,3,2,2,9,8*,-,13,69.23,0,0,0,1,0,2019/2020,Islamabad United
4,Ahmed Shehzad,7,7,0,61,12,8.71,64,95.31,0,0,1,5,3,2019/2020,Quetta Gladiators
5,Ahsan Ali,3,2,0,16,14,8.00,19,84.21,0,0,0,1,0,2019/2020,Quetta Gladiators
6,Akif Javed,6,1,1,0,0*,-,2,0.00,0,0,0,0,0,2019/2020,Islamabad United
7,MM Ali,9,9,1,138,65,17.25,106,130.18,0,1,1,13,5,2019/2020,Multan Sultans
8,Ali Khan,1,-,-,-,-,-,-,-,-,-,-,-,-,2019/2020,Karachi Kings
9,Ali Shafiq,2,-,-,-,-,-,-,-,-,-,-,-,-,2019/2020,Multan Sultans
10,Amad Butt,5,4,0,22,8,5.50,17,129.41,0,0,1,0,3,2019/2020,Islamabad United
11,Anwar Ali,3,3,1,30,14,15.00,17,176.47,0,0,0,2,2,2019/2020,Quetta Gladiators
12,Arshad Iqbal,7,-,-,-,-,-,-,-,-,-,-,-,-,2019/2020,Karachi Kings
13,Asad Shafiq,1,1,0,1,1,1.00,1,100.00,0,0,0,0,0,2019/2020,Multan Sultans
14,Asif Ali,9,7,2,81,20*,16.20,54,150.00,0,0,0,7,4,2019/2020,Islamabad United
15,Azam Khan,9,9,1,150,59,18.75,115,130.43,0,1,2,14,6,2019/2020,Quetta Gladiators
16,Babar Azam,12,11,3,473,78,59.12,381,124.14,0,5,1,55,5,2019/2020,Karachi Kings
17,T Banton,7,7,1,74,34,12.33,57,129.82,0,0,2,9,2,2019/2020,Peshawar Zalmi
18,Bilawal Bhatti,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,2019/2020,Multan Sultans
19,RS Bopara,6,6,0,92,40,15.33,84,109.52,0,0,0,8,2,2019/2020,Multan Sultans
20,CR Brathwaite,4,3,1,34,16*,17.00,24,141.66,0,0,0,3,1,2019/2020,Peshawar Zalmi
21,BCJ Cutting,7,7,2,146,53,29.20,77,189.61,0,1,2,8,13,2019/2020,Quetta Gladiators
22,LA Dawson,4,4,1,49,22,16.33,45,108.88,0,0,1,1,1,2019/2020,Peshawar Zalmi
23,CS Delport,8,8,0,178,62,22.25,147,121.08,0,1,0,13,7,2019/2020,Karachi Kings
24,Dilbar Hussain,11,1,1,8,8*,-,12,66.66,0,0,0,0,1,2019/2020,Lahore Qalandars
25,BR Dunk,11,10,2,300,99*,37.50,179,167.59,0,2,0,18,23,2019/2020,Lahore Qalandars
26,F du Plessis,1,1,0,31,31,31.00,25,124.00,0,0,0,1,1,2019/2020,Peshawar Zalmi
27,Faheem Ashraf,7,5,2,50,20,16.66,37,135.13,0,0,0,7,0,2019/2020,Islamabad United
28,Fakhar Zaman,12,12,0,325,63,27.08,252,128.96,0,2,1,36,10,2019/2020,Lahore Qalandars
29,Fawad Ahmed,5,2,0,18,14,9.00,23,78.26,0,0,0,3,0,2019/2020,Quetta Gladiators
30,L Gregory,4,4,1,68,25,22.66,42,161.90,0,0,0,2,5,2019/2020,Peshawar Zalmi
31,Haider Ali,10,10,1,239,69,26.55,152,157.23,0,1,1,20,14,2019/2020,Peshawar Zalmi
32,AD Hales,9,7,1,272,80*,45.33,183,148.63,0,2,0,25,12,2019/2020,Karachi Kings
33,Hammad Azam,1,1,0,7,7,7.00,5,140.00,0,0,0,1,0,2019/2020,Peshawar Zalmi
34,Haris Rauf,8,1,0,0,0,0.00,5,0.00,0,0,1,0,0,2019/2020,Lahore Qalandars
35,Hasan Ali,9,5,3,29,9*,14.50,19,152.63,0,0,0,3,1,2019/2020,Peshawar Zalmi
36,Hussain Talat,5,3,0,61,37,20.33,59,103.38,0,0,0,5,0,2019/2020,Islamabad United
37,Iftikhar Ahmed,12,10,2,96,25,12.00,79,121.51,0,0,0,7,4,2019/2020,Karachi Kings
38,Imad Wasim,11,8,4,158,50,39.50,118,133.89,0,1,0,13,7,2019/2020,Karachi Kings
39,Imam-ul-Haq,4,4,0,94,56,23.50,76,123.68,0,1,0,6,4,2019/2020,Peshawar Zalmi
40,Imran Tahir,10,2,1,4,3*,4.00,4,100.00,0,0,0,0,0,2019/2020,Multan Sultans
41,CA Ingram,9,9,2,206,63*,29.42,137,150.36,0,1,0,18,8,2019/2020,Islamabad United
42,CJ Jordan,9,3,1,27,14,13.50,24,112.50,0,0,0,2,1,2019/2020,Karachi Kings
43,Junaid Khan,3,1,1,0,0*,-,1,0.00,0,0,0,0,0,2019/2020,Multan Sultans
44,Kamran Akmal,9,9,0,251,101,27.88,155,161.93,1,0,0,31,10,2019/2020,Peshawar Zalmi
45,Khurram Manzoor,1,1,0,63,63,63.00,40,157.50,0,1,0,9,1,2019/2020,Quetta Gladiators
46,Khushdil Shah,11,10,4,222,70*,37.00,159,139.62,0,1,0,12,13,2019/2020,Multan Sultans
47,LS Livingstone,8,7,2,108,54*,21.60,72,150.00,0,1,1,7,5,2019/2020,Peshawar Zalmi
48,CA Lynn,8,8,1,284,113*,40.57,158,179.74,1,1,1,32,16,2019/2020,Lahore Qalandars
49,A Lyth,2,2,0,59,50,29.50,36,163.88,0,1,0,4,4,2019/2020,Multan Sultans
50,Maaz Khan,3,-,-,-,-,-,-,-,-,-,-,-,-,2019/2020,Lahore Qalandars
51,MJ McClenaghan,1,-,-,-,-,-,-,-,-,-,-,-,-,2019/2020,Karachi Kings
52,S Mahmood,1,1,1,2,2*,-,3,66.66,0,0,0,0,0,2019/2020,Peshawar Zalmi
53,DJ Malan,4,4,1,131,64,43.66,92,142.39,0,1,0,13,5,2019/2020,Islamabad United
54,TS Mills,4,1,1,4,4*,-,5,80.00,0,0,0,0,0,2019/2020,Quetta Gladiators
55,Mohammad Amir Khan,4,1,1,7,7*,-,9,77.77,0,0,0,1,0,2019/2020,Peshawar Zalmi
56,Mohammad Amir,11,3,1,3,2,1.50,7,42.85,0,0,0,0,0,2019/2020,Karachi Kings
57,Mohammad Hafeez,13,12,4,312,98*,39.00,249,125.30,0,2,1,28,11,2019/2020,Lahore Qalandars
58,Mohammad Hasnain,9,2,2,3,2*,-,3,100.00,0,0,0,0,0,2019/2020,Quetta Gladiators
59,Mohammad Ilyas,9,3,2,17,9,17.00,17,100.00,0,0,0,1,0,2019/2020,Multan Sultans
60,Mohammad Imran,1,1,0,8,8,8.00,4,200.00,0,0,0,0,1,2019/2020,Peshawar Zalmi
61,Mohammad Irfan,8,-,-,-,-,-,-,-,-,-,-,-,-,2019/2020,Multan Sultans
62,Mohammad Mohsin,2,1,0,0,0,0.00,6,0.00,0,0,1,0,0,2019/2020,Peshawar Zalmi
63,Mohammad Nawaz,9,9,3,116,25*,19.33,100,116.00,0,0,0,14,2,2019/2020,Quetta Gladiators
64,Mohammad Rizwan,2,1,1,0,0*,-,1,0.00,0,0,0,0,0,2019/2020,Karachi Kings
65,Muhammad Faizan,7,4,2,6,6,3.00,8,75.00,0,0,1,0,1,2019/2020,Lahore Qalandars
66,Muhammad Musa,7,2,1,17,17*,17.00,14,121.42,0,0,1,2,1,2019/2020,Islamabad United
67,C Munro,8,8,1,248,87*,35.42,168,147.61,0,3,1,18,15,2019/2020,Islamabad United
68,Naseem Shah,6,1,0,7,7,7.00,7,100.00,0,0,0,0,1,2019/2020,Quetta Gladiators
69,WD Parnell,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0,2019/2020,Karachi Kings
70,SR Patel,12,9,2,188,71,26.85,129,145.73,0,1,0,24,4,2019/2020,Lahore Qalandars
71,S Prasanna,2,1,0,8,8,8.00,8,100.00,0,0,0,0,1,2019/2020,Lahore Qalandars
72,Rahat Ali,10,1,0,1,1,1.00,6,16.66,0,0,0,0,0,2019/2020,Peshawar Zalmi
73,Raja Farzan,2,-,-,-,-,-,-,-,-,-,-,-,-,2019/2020,Lahore Qalandars
74,Rizwan Hussain,5,4,0,51,22,12.75,36,141.66,0,0,0,6,1,2019/2020,Islamabad United
75,Rohail Nazir,2,2,0,38,24,19.00,31,122.58,0,0,0,4,1,2019/2020,Multan Sultans
76,L Ronchi,8,8,1,266,85*,38.00,170,156.47,0,2,0,31,9,2019/2020,Islamabad United
77,RR Rossouw,9,8,2,212,100*,35.33,149,142.28,1,0,2,21,8,2019/2020,Multan Sultans
78,JJ Roy,8,8,1,233,73*,33.28,194,120.10,0,2,1,25,5,2019/2020,Quetta Gladiators
79,Rumman Raees,6,1,1,0,0*,-,0,-,0,0,0,0,0,2019/2020,Islamabad United
80,SE Rutherford,2,2,0,1,1,0.50,4,25.00,0,0,1,0,0,2019/2020,Karachi Kings
81,Salman Butt,1,1,0,21,21,21.00,24,87.50,0,0,0,2,0,2019/2020,Lahore Qalandars
82,Salman Irshad,5,2,1,3,2*,3.00,6,50.00,0,0,0,0,0,2019/2020,Lahore Qalandars
83,PD Salt,1,1,0,25,25,25.00,19,131.57,0,0,0,3,1,2019/2020,Islamabad United
84,DJG Sammy,4,3,0,44,30,14.66,42,104.76,0,0,0,2,2,2019/2020,Peshawar Zalmi
85,Sarfaraz Ahmed,9,9,2,148,41,21.14,115,128.69,0,0,0,16,2,2019/2020,Quetta Gladiators
86,Shadab Khan,9,8,1,263,77,37.57,165,159.39,0,3,0,16,15,2019/2020,Islamabad United
87,Shaheen Shah Afridi,12,2,1,14,12*,14.00,9,155.55,0,0,0,1,1,2019/2020,Lahore Qalandars
88,Shahid Afridi,9,7,3,99,35*,24.75,65,152.30,0,0,1,4,7,2019/2020,Multan Sultans
89,Shan Masood,11,10,0,283,61,28.30,221,128.05,0,1,0,30,2,2019/2020,Multan Sultans
90,Sharjeel Khan,12,11,1,216,74*,21.60,157,137.57,0,1,1,18,16,2019/2020,Karachi Kings
91,Shoaib Malik,9,8,0,278,68,34.75,202,137.62,0,3,0,27,8,2019/2020,Peshawar Zalmi
92,Sohaib Maqsood,1,1,0,16,16,16.00,17,94.11,0,0,0,1,1,2019/2020,Peshawar Zalmi
93,Sohail Akhtar,13,13,4,262,68*,29.11,218,120.18,0,2,0,24,9,2019/2020,Lahore Qalandars
94,Sohail Khan,8,5,2,65,32,21.66,60,108.33,0,0,0,3,5,2019/2020,Quetta Gladiators
95,Sohail Tanvir,10,7,5,51,25*,25.50,45,113.33,0,0,0,4,2,2019/2020,Multan Sultans
96,DW Steyn,4,-,-,-,-,-,-,-,-,-,-,-,-,2019/2020,Islamabad United
97,Tamim Iqbal,3,3,0,83,35,27.66,68,122.05,0,0,0,11,2,2019/2020,Lahore Qalandars
98,Umaid Asif,7,3,1,42,20,21.00,21,200.00,0,0,0,3,3,2019/2020,Karachi Kings
99,Umar Amin,1,1,0,29,29,29.00,23,126.08,0,0,0,4,0,2019/2020,Peshawar Zalmi
100,Umer Khan,6,1,1,3,3*,-,5,60.00,0,0,0,0,0,2019/2020,Karachi Kings
101,Usama Mir,3,1,1,1,1*,-,2,50.00,0,0,0,0,0,2019/2020,Karachi Kings
102,Usman Qadir,1,-,-,-,-,-,-,-,-,-,-,-,-,2019/2020,Multan Sultans
103,Usman Shinwari,4,2,1,30,30,30.00,15,200.00,0,0,0,0,4,2019/2020,Lahore Qalandars
104,DJ Vilas,5,3,0,24,19,8.00,23,104.34,0,0,0,3,0,2019/2020,Lahore Qalandars
105,GC Viljoen,1,1,0,37,37,37.00,16,231.25,0,0,0,3,3,2019/2020,Peshawar Zalmi
106,JM Vince,5,5,1,155,61*,38.75,93,166.66,0,1,0,26,3,2019/2020,Multan Sultans
107,Wahab Riaz,10,7,1,28,13*,4.66,34,82.35,0,0,2,2,1,2019/2020,Peshawar Zalmi
108,CAK Walton,12,10,2,176,45,22.00,126,139.68,0,0,0,15,8,2019/2020,Karachi Kings
109,Waqas Maqsood,3,1,1,1,1*,-,1,100.00,0,0,0,0,0,2019/2020,Karachi Kings
110,SR Watson,9,9,0,247,80,27.44,157,157.32,0,2,1,26,16,2019/2020,Quetta Gladiators
111,D Wiese,11,8,5,131,48*,43.66,77,170.12,0,0,0,10,8,2019/2020,Lahore Qalandars
112,Yasir Shah,4,1,1,1,1*,-,1,100.00,0,0,0,0,0,2019/2020,Peshawar Zalmi
113,Zafar Gohar,3,1,1,13,13*,-,10,130.00,0,0,0,1,0,2019/2020,Islamabad United
114,Zahid Mahmood,1,1,1,19,19*,-,19,100.00,0,0,0,2,0,2019/2020,Quetta Gladiators
115,Zeeshan Ashraf,11,11,0,202,52,18.36,155,130.32,0,2,0,25,6,2019/2020,Multan Sultans
0,Aamer Yamin,8,4,1,39,35*,13.00,28,139.28,0,0,1,3,2,2018/2019,Karachi Kings
1,Agha Salman,3,3,0,18,13,6.00,30,60.00,0,0,0,1,0,2018/2019,Lahore Qalandars
2,Ahmed Shehzad,8,8,2,311,99,51.83,245,126.93,0,4,1,30,8,2018/2019,Quetta Gladiators
3,Ahsan Ali,8,8,0,178,46,22.25,136,130.88,0,0,0,16,7,2018/2019,Quetta Gladiators
4,Aizaz Cheema,1,-,-,-,-,-,-,-,-,-,-,-,-,2018/2019,Lahore Qalandars
5,Ali Shafiq,2,1,0,0,0,0.00,0,-,0,0,1,0,0,2018/2019,Multan Sultans
6,Amad Butt,2,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2018/2019,Islamabad United
7,CJ Anderson,3,2,0,41,22,20.50,36,113.88,0,0,0,1,3,2018/2019,Lahore Qalandars
8,Anwar Ali,3,3,1,30,27*,15.00,11,272.72,0,0,0,0,4,2018/2019,Quetta Gladiators
9,Asif Ali,12,11,3,281,70,35.12,154,182.46,0,2,2,14,26,2018/2019,Islamabad United
10,Awais Zia,2,2,0,22,19,11.00,30,73.33,0,0,0,2,0,2018/2019,Karachi Kings
11,Azam Khan,1,1,0,12,12,12.00,15,80.00,0,0,0,1,0,2018/2019,Quetta Gladiators
12,Babar Azam,11,11,0,335,77,30.45,290,115.51,0,3,1,38,2,2018/2019,Karachi Kings
13,IR Bell,1,1,0,54,54,54.00,46,117.39,0,1,0,6,0,2018/2019,Islamabad United
14,RS Bopara,2,2,1,4,3*,4.00,8,50.00,0,0,0,0,0,2018/2019,Karachi Kings
15,CR Brathwaite,1,1,0,6,6,6.00,6,100.00,0,0,0,1,0,2018/2019,Lahore Qalandars
16,DJ Bravo,6,4,2,23,12*,11.50,29,79.31,0,0,1,3,0,2018/2019,Quetta Gladiators
17,J Charles,7,7,1,208,57,34.66,142,146.47,0,2,1,24,7,2018/2019,Multan Sultans
18,DT Christian,8,7,1,97,21,16.16,75,129.33,0,0,0,5,5,2018/2019,Multan Sultans
19,Danish Aziz,1,1,0,1,1,1.00,7,14.28,0,0,0,0,0,2018/2019,Quetta Gladiators
20,LA Dawson,11,8,2,169,52*,28.16,136,124.26,0,1,1,10,6,2018/2019,Peshawar Zalmi
21,CS Delport,12,12,1,355,117*,32.27,265,133.96,1,1,3,35,13,2018/2019,Islamabad United
22,AP Devcich,5,5,0,83,28,16.60,81,102.46,0,0,0,8,1,2018/2019,Lahore Qalandars
23,AB de Villiers,7,7,3,218,52*,54.50,169,128.99,0,1,0,19,5,2018/2019,Lahore Qalandars
24,BR Dunk,7,7,2,124,49*,24.80,95,130.52,0,0,0,10,4,2018/2019,Karachi Kings
25,LJ Evans,5,5,0,83,49,16.60,96,86.45,0,0,0,7,0,2018/2019,Multan Sultans
26,Faheem Ashraf,12,10,4,129,31,21.50,81,159.25,0,0,0,9,8,2018/2019,Islamabad United
27,Fakhar Zaman,10,10,0,285,65,28.50,207,137.68,0,3,0,33,10,2018/2019,Lahore Qalandars
28,Fawad Ahmed,12,2,0,0,0,0.00,5,0.00,0,0,2,0,0,2018/2019,Quetta Gladiators
29,ADS Fletcher,4,4,0,72,26,18.00,66,109.09,0,0,0,6,4,2018/2019,Peshawar Zalmi
30,Gauhar Ali,3,3,0,30,21,10.00,22,136.36,0,0,0,4,1,2018/2019,Lahore Qalandars
31,Ghulam Mudassar,5,-,-,-,-,-,-,-,-,-,-,-,-,2018/2019,Quetta Gladiators
32,CJ Green,5,3,1,27,18*,13.50,29,93.10,0,0,0,2,0,2018/2019,Multan Sultans
33,DAS Gunaratne,1,1,0,12,12,12.00,11,109.09,0,0,0,0,1,2018/2019,Lahore Qalandars
34,HF Gurney,1,1,1,0,0*,-,0,-,0,0,0,0,0,2018/2019,Quetta Gladiators
35,AD Hales,2,2,0,42,41,21.00,47,89.36,0,0,0,5,1,2018/2019,Islamabad United
36,Hammad Azam,5,5,1,57,29,14.25,58,98.27,0,0,1,4,1,2018/2019,Multan Sultans
37,Haris Rauf,10,3,1,13,7,6.50,10,130.00,0,0,1,1,1,2018/2019,Lahore Qalandars
38,Haris Sohail,5,5,1,103,43,25.75,108,95.37,0,0,1,10,1,2018/2019,Lahore Qalandars
39,Hasan Ali,13,4,1,8,3*,2.66,10,80.00,0,0,0,0,0,2018/2019,Peshawar Zalmi
40,Hassan Khan,2,2,1,13,7,13.00,14,92.85,0,0,0,2,0,2018/2019,Lahore Qalandars
41,Hussain Talat,10,9,0,134,37,14.88,111,120.72,0,0,2,10,5,2018/2019,Islamabad United
42,Ibtisam Sheikh,4,-,-,-,-,-,-,-,-,-,-,-,-,2018/2019,Peshawar Zalmi
43,Iftikhar Ahmed,6,6,3,82,44*,27.33,56,146.42,0,0,1,7,4,2018/2019,Karachi Kings
44,Imad Wasim,11,10,4,115,30,19.16,100,115.00,0,0,1,7,2,2018/2019,Karachi Kings
45,Imam-ul-Haq,12,12,0,341,59,28.41,262,130.15,0,4,0,34,8,2018/2019,Peshawar Zalmi
46,CA Ingram,11,11,1,344,127*,34.40,209,164.59,1,1,0,34,16,2018/2019,Karachi Kings
47,CJ Jordan,2,2,2,0,0*,-,0,-,0,0,0,0,0,2018/2019,Peshawar Zalmi
48,Junaid Khan,7,2,1,0,0*,0.00,1,0.00,0,0,1,0,0,2018/2019,Multan Sultans
49,Kamran Akmal,13,13,0,357,86,27.46,259,137.83,0,3,3,42,18,2018/2019,Peshawar Zalmi
50,S Lamichhane,7,3,3,11,6*,-,14,78.57,0,0,0,0,0,2018/2019,Lahore Qalandars
51,LS Livingstone,11,11,1,321,82,32.10,246,130.48,0,3,1,24,15,2018/2019,Karachi Kings
52,WL Madsen,2,2,0,5,5,2.50,19,26.31,0,0,1,0,0,2018/2019,Peshawar Zalmi
53,DJ Malan,2,2,0,39,38,19.50,41,95.12,0,0,0,5,0,2018/2019,Peshawar Zalmi
54,TS Mills,5,-,-,-,-,-,-,-,-,-,-,-,-,2018/2019,Peshawar Zalmi
55,Misbah-ul-Haq,3,3,2,126,59*,126.00,104,121.15,0,1,0,9,5,2018/2019,Peshawar Zalmi
56,Mohammad Abbas,3,1,1,1,1*,-,1,100.00,0,0,0,0,0,2018/2019,Multan Sultans
57,Mohammad Amir,9,5,0,10,6,2.00,11,90.90,0,0,2,0,1,2018/2019,Karachi Kings
58,Mohammad Hafeez,2,2,1,19,14,19.00,14,135.71,0,0,0,1,1,2018/2019,Lahore Qalandars
59,Mohammad Hasnain,7,2,1,0,0*,0.00,2,0.00,0,0,1,0,0,2018/2019,Quetta Gladiators
60,Mohammad Ilyas,8,4,1,6,3*,2.00,9,66.66,0,0,1,0,0,2018/2019,Multan Sultans
61,Mohammad Irfan,9,3,2,4,4*,4.00,4,100.00,0,0,1,1,0,2018/2019,Multan Sultans
62,Mohammad Irfan,2,2,1,4,4*,4.00,3,133.33,0,0,1,1,0,2018/2019,Multan Sultans
63,Mohammad Irfan,3,-,-,-,-,-,-,-,-,-,-,-,-,2018/2019,Quetta Gladiators
64,Mohammad Nawaz,12,6,4,49,19,24.50,45,108.88,0,0,0,2,2,2018/2019,Quetta Gladiators
65,Mohammad Rizwan,5,5,1,79,34,19.75,81,97.53,0,0,0,3,1,2018/2019,Karachi Kings
66,Mohammad Sami,9,5,3,8,2*,4.00,13,61.53,0,0,0,0,0,2018/2019,Islamabad United
67,TJ Moores,3,3,1,10,9,5.00,21,47.61,0,0,0,0,0,2018/2019,Multan Sultans
68,Muhammad Musa,7,3,2,10,8*,10.00,11,90.90,0,0,0,1,0,2018/2019,Islamabad United
69,C Munro,8,8,0,95,32,11.87,77,123.37,0,0,2,9,4,2018/2019,Karachi Kings
70,Nabi Gul,2,1,0,9,9,9.00,12,75.00,0,0,0,0,0,2018/2019,Peshawar Zalmi
71,Nasir Nawaz,1,1,0,3,3,3.00,5,60.00,0,0,0,0,0,2018/2019,Islamabad United
72,Nauman Ali,4,2,0,5,3,2.50,7,71.42,0,0,0,0,0,2018/2019,Multan Sultans
73,WD Parnell,3,2,0,46,41,23.00,28,164.28,0,0,0,7,1,2018/2019,Islamabad United
74,SR Patel,8,6,3,119,45*,39.66,113,105.30,0,0,0,14,1,2018/2019,Islamabad United
75,KA Pollard,13,13,3,284,52*,28.40,164,173.17,0,2,1,19,23,2018/2019,Peshawar Zalmi
76,Rahat Ali,7,2,2,2,1*,-,4,50.00,0,0,0,0,0,2018/2019,Lahore Qalandars
77,Rizwan Hussain,4,4,0,31,15,7.75,41,75.60,0,0,0,3,0,2018/2019,Islamabad United
78,L Ronchi,12,12,1,319,67*,29.00,205,155.60,0,3,2,34,17,2018/2019,Islamabad United
79,RR Rossouw,12,12,3,295,67*,32.77,217,135.94,0,1,0,36,5,2018/2019,Quetta Gladiators
80,Rumman Raees,8,3,2,2,2*,2.00,7,28.57,0,0,1,0,0,2018/2019,Islamabad United
81,AD Russell,4,4,0,50,18,12.50,30,166.66,0,0,0,5,3,2018/2019,Multan Sultans
82,Saad Ali,1,1,0,8,8,8.00,9,88.88,0,0,0,0,0,2018/2019,Lahore Qalandars
83,Sahibzada Farhan,3,3,0,49,30,16.33,54,90.74,0,0,0,5,0,2018/2019,Islamabad United
84,Salman Butt,2,2,0,22,17,11.00,26,84.61,0,0,0,1,0,2018/2019,Lahore Qalandars
85,PD Salt,6,6,0,94,46,15.66,73,128.76,0,0,0,15,0,2018/2019,Islamabad United
86,Sameen Gul,7,1,1,0,0*,-,0,-,0,0,0,0,0,2018/2019,Peshawar Zalmi
87,DJG Sammy,13,10,3,228,46,32.57,158,144.30,0,0,0,16,11,2018/2019,Peshawar Zalmi
88,Sarfaraz Ahmed,12,7,2,146,52*,29.20,122,119.67,0,1,1,9,2,2018/2019,Quetta Gladiators
89,Shadab Khan,12,9,2,44,15,6.28,57,77.19,0,0,3,1,1,2018/2019,Islamabad United
90,Shaheen Shah Afridi,8,5,0,12,4,2.40,30,40.00,0,0,0,0,0,2018/2019,Lahore Qalandars
91,Shahid Afridi,8,7,2,52,16*,10.40,44,118.18,0,0,1,5,2,2018/2019,Multan Sultans
92,Shakeel Ansar,1,1,1,0,0*,-,3,0.00,0,0,0,0,0,2018/2019,Multan Sultans
93,Shan Masood,4,4,0,112,48,28.00,81,138.27,0,0,0,17,1,2018/2019,Multan Sultans
94,Shoaib Malik,10,9,3,266,53,44.33,229,116.15,0,2,0,16,9,2018/2019,Multan Sultans
95,Sikandar Raza,3,3,0,23,14,7.66,38,60.52,0,0,0,2,0,2018/2019,Karachi Kings
96,DR Smith,5,3,1,22,11*,11.00,27,81.48,0,0,0,2,0,2018/2019,Quetta Gladiators
97,Sohaib Maqsood,5,5,1,69,26,17.25,71,97.18,0,0,0,6,3,2018/2019,Peshawar Zalmi
98,Sohail Akhtar,10,9,1,241,75,30.12,173,139.30,0,1,0,22,12,2018/2019,Lahore Qalandars
99,Sohail Khan,5,3,1,5,4*,2.50,5,100.00,0,0,1,1,0,2018/2019,Karachi Kings
100,Sohail Tanvir,12,4,2,9,7,4.50,23,39.13,0,0,1,0,0,2018/2019,Quetta Gladiators
101,AW Summers,2,-,-,-,-,-,-,-,-,-,-,-,-,2018/2019,Karachi Kings
102,BRM Taylor,4,4,1,17,13,5.66,17,100.00,0,0,0,0,1,2018/2019,Lahore Qalandars
103,RN ten Doeschate,1,1,0,2,2,2.00,9,22.22,0,0,0,0,0,2018/2019,Lahore Qalandars
104,Umaid Asif,8,2,1,0,0*,0.00,1,0.00,0,0,1,0,0,2018/2019,Peshawar Zalmi
105,Umair Masood,1,1,0,22,22,22.00,28,78.57,0,0,0,1,0,2018/2019,Lahore Qalandars
106,Umar Akmal,12,10,2,277,75*,34.62,202,137.12,0,2,1,18,16,2018/2019,Quetta Gladiators
107,Umar Amin,11,8,3,189,61*,37.80,163,115.95,0,2,1,22,3,2018/2019,Peshawar Zalmi
108,Umar Siddiq,7,7,0,169,53,24.14,150,112.66,0,1,0,13,8,2018/2019,Multan Sultans
109,Umer Khan,11,4,1,0,0*,0.00,3,0.00,0,0,3,0,0,2018/2019,Karachi Kings
110,Usman Shinwari,9,4,3,2,1*,2.00,7,28.57,0,0,1,0,0,2018/2019,Karachi Kings
111,GC Viljoen,2,2,1,9,8*,9.00,10,90.00,0,0,0,1,0,2018/2019,Lahore Qalandars
112,JM Vince,8,8,0,231,84,28.87,160,144.37,0,1,1,26,10,2018/2019,Multan Sultans
113,Wahab Riaz,13,9,4,48,20,9.60,31,154.83,0,0,1,4,2,2018/2019,Peshawar Zalmi
114,CAK Walton,4,4,0,118,48,29.50,75,157.33,0,0,1,7,8,2018/2019,Islamabad United
115,Waqas Maqsood,2,-,-,-,-,-,-,-,-,-,-,-,-,2018/2019,Islamabad United
116,SR Watson,12,12,2,430,91*,43.00,299,143.81,0,4,1,43,22,2018/2019,Quetta Gladiators
117,MH Wessels,2,2,0,24,20,12.00,21,114.28,0,0,0,3,1,2018/2019,Lahore Qalandars
118,D Wiese,7,6,3,136,45*,45.33,94,144.68,0,0,0,5,10,2018/2019,Lahore Qalandars
119,Yasir Shah,5,3,1,10,7,5.00,11,90.90,0,0,0,0,1,2018/2019,Lahore Qalandars
120,Zafar Gohar,2,2,1,11,9*,11.00,11,100.00,0,0,0,0,1,2018/2019,Islamabad United
0,Aamer Yamin,2,2,0,2,1,1.00,4,50.00,0,0,0,0,0,2017/2018,Lahore Qalandars
1,KJ Abbott,1,-,-,-,-,-,-,-,-,-,-,-,-,2017/2018,Lahore Qalandars
2,Agha Salman,8,8,0,166,50,20.75,157,105.73,0,1,0,13,5,2017/2018,Lahore Qalandars
3,Ahmed Shehzad,10,9,0,173,38,19.22,203,85.22,0,0,1,16,3,2017/2018,Multan Sultans
