Player_bowling_id,matches,innings,overs,maidens,runs,wickets,best_bowling,average,economy,strike_rate,four_wkts,five_wkts,catches,stumps,Season_Id,Team_Id,Name,Player_Id
494,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,5,1,"Rilee Rossouw",130
495,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,0,4,4,"Rizwan Hussain",175
496,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,3,3,"Sabbir Rahman",158
497,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,2,2,"Umar Akmal",44
498,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,0,1,2,"Umar Akmal",44
499,4,4,16,0,129,5,45003,25.8,8.06,19.2,0,0,0,0,7,1,"Blessing Muzarabani",317
500,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,6,6,"Najibullah Zadran",280
501,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,0,5,5,"Jason Roy",112
502,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,0,3,4,"Sahibzada Farhan",137
503,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2,4,"Umar Amin",15
504,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,4,"Umar Amin",15
505,10,10,38,0,306,14,45066,21.85,8.01,16.3,1,1,2,0,7,5,"Naseem Shah",212
506,4,4,8,0,89,0,NULL,NULL,11.12,NULL,0,0,1,0,6,5,"Naseem Shah",212
507,6,6,17,0,153,6,45014,25.5,8.91,17.1,0,0,1,0,5,4,"Rumman Raees",12
508,12,2,1,0,9,1,44929,9,5.4,10,0,0,6,0,4,5,"Rilee Rossouw",130
509,10,1,2,0,15,1,44941,15,7.5,12,0,0,1,0,3,1,"Saif Badar",113
510,6,6,21,0,179,4,44976,44.75,8.52,31.5,0,0,1,0,2,5,"Umar Gul",80
511,6,6,21,0,179,4,44976,44.75,8.52,31.5,0,0,1,0,1,5,"Umar Gul",80
