Player_team_id,Season_Id,Team_Id,age,Player_id
185,2,5,"38y 44d",82
186,3,4,"43y 268d",84
187,3,4,"22y 286d",1
188,3,4,"26y 142d",85
189,3,4,"36y 348d",3
190,3,4,"26y 250d",4
191,3,4,"33y 312d",131
192,3,4,"24y 35d",132
193,3,4,"28y 322d",87
194,3,4,"29y 48d",133
195,3,4,"22y 8d",88
196,3,4,"27y 170d",20
197,3,4,"27y 139d",134
198,3,4,"36y 361d",11
199,3,4,"33y 82d",121
200,3,4,"16y 133d",135
201,3,4,"36y 303d",136
202,3,4,"26y 125d",12
203,3,4,"29y 297d",13
204,3,4,"21y 351d",137
205,3,4,"19y 139d",91
206,3,4,"32y 232d",138
207,3,4,"23y 19d",46
208,3,6,"23y 128d",2
209,3,6,"32y 292d",19
210,3,6,"31y 341d",139
211,3,6,"20y 40d",95
212,3,6,"29y 64d",21
213,3,6,"32y 232d",140
214,3,6,"31y 255d",98
215,3,6,"25y 192d",127
216,3,6,"25y 313d",23
217,3,6,"22y 281d",10
218,3,6,"25y 264d",40
219,3,6,"17y 286d",141
220,3,6,"31y 163d",120
221,3,6,"22y 336d",26
222,3,6,"37y 356d",62
223,3,6,"33y 26d",28
224,3,6,"33y 70d",142
225,3,6,"22y 59d",31
226,3,6,"24y 46d",104
227,3,6,"32y 278d",143
228,3,2,"36y 146d",105
229,3,2,"27y 239d",49
230,3,2,"32y 149d",73
231,3,2,"26y 156d",18
232,3,2,"28y 284d",37
233,3,2,"32y 145d",144
234,3,2,"27y 316d",107
235,3,2,"18y 119d",109
236,3,2,"28y 55d",145
237,3,2,"29y 221d",54
238,3,2,"27y 316d",146
239,3,2,"31y 254d",147
240,3,2,"22y 167d",41
241,3,2,"29y 270d",111
242,3,2,"32y 344d",148
243,3,2,"25y 227d",149
244,3,2,"22y 79d",150
245,3,2,"17y 320d",151
246,3,2,"31y 355d",152
247,3,2,"33y 351d",29
248,3,2,"27y 270d",44
249,3,2,"31y 294d",45
250,3,3,"34y 62d",115
251,3,3,"34y 136d",35
252,3,3,"27y 356d",153
253,3,3,"30y 84d",117
254,3,3,"26y 341d",39
255,3,3,"29y 42d",118
256,3,3,"23y 233d",53
257,3,3,"19y 341d",154
258,3,3,"29y 139d",67
259,3,3,"36y 38d",56
260,3,3,"31y 356d",155
261,3,3,"23y 13d",119
262,3,3,"25y 232d",156
263,3,3,"24y 49d",157
264,3,3,"19y 54d",58
265,3,3,"37y 126d",59
266,3,3,"27y 297d",79
267,3,3,"26y 90d",158
268,3,3,"19y 16d",159
269,3,3,"34y 314d",92
270,3,3,"23y 78d",160
271,3,3,"28y 337d",65
272,3,3,"33y 296d",161
273,3,3,"32y 237d",66
274,3,3,"32y 100d",162
275,3,3,"26y 34d",163
276,3,3,"30y 333d",27
277,3,5,"30y 274d",123
278,3,5,"30y 87d",71
279,3,5,"22y 325d",164
280,3,5,"32y 23d",72
281,3,5,"19y 194d",165
282,3,5,"33y 149d",166
283,3,5,"19y 127d",124
284,3,5,"32y 16d",125
285,3,5,"25y 163d",22
286,3,5,"23y 336d",77
287,3,5,"37y 238d",78
288,3,5,"29y 161d",101
289,3,5,"19y 153d",167
290,3,5,"28y 134d",130
291,3,5,"27y 214d",112
292,3,5,"24y 138d",168
293,3,5,"22y 168d",169
294,3,5,"28y 127d",15
295,3,5,"36y 248d",16
296,3,1,"30y 274d",123
297,3,1,"30y 87d",71
298,3,1,"22y 325d",164
299,3,1,"32y 23d",72
300,3,1,"19y 194d",165
301,3,1,"33y 149d",166
302,3,1,"19y 127d",124
303,3,1,"32y 16d",125
304,3,1,"25y 163d",22
305,3,1,"23y 336d",77
306,3,1,"37y 238d",78
307,3,1,"29y 161d",101
308,3,1,"19y 153d",167
309,3,1,"28y 134d",130
310,3,1,"27y 214d",112
311,3,1,"24y 138d",168
312,3,1,"22y 168d",169
313,3,1,"28y 127d",15
314,3,1,"36y 248d",16
315,4,4,"37y 334d",170
316,4,4,"23y 259d",1
317,4,4,"27y 115d",85
318,4,4,"36y 288d",171
319,4,4,"29y 257d",37
320,4,4,"25y 8d",132
321,4,4,"22y 346d",88
322,4,4,"18y 149d",172
323,4,4,"20y 111d",173
324,4,4,"29y 178d",174
325,4,4,"34y 55d",121
326,4,4,"22y 273d",175
327,4,4,"37y 276d",136
328,4,4,"27y 98d",12
329,4,4,"22y 324d",137
330,4,4,"22y 149d",176
331,4,4,"20y 112d",91
332,4,4,"31y 81d",177
333,4,4,"23y 357d",46
334,4,4,"20y 35d",178
335,4,6,"30y 37d",179
336,4,6,"28y 212d",49
337,4,6,"20y 100d",94
338,4,6,"20y 333d",180
